f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp,isDirty,errRule,errCol,pk
Mikiko,Blanquart,F,251,271-1781,CALVERT,AL,36513,M,N,35000,5.0,0,3000,300,True,;spellingMistake;Incorrect_Format,;has_child;rate,17482
Chihping,Gonzalez,F,225,602-3357,PERRY,NJ,70575,S,Y,35000,6.0,4500,0,1000,True,;spellingMistake;Incorrect_Format,;state;rate,10190
Henrik,Kesavan,F,207,718-4772,NEW PORTLAND,AR,4954,S,N,40000,8.5,2850,0,0,True,;spellingMistake;Incorrect_Format,;state;zip,10153
M''hamed,Iijima,M,860,553-8190,WEST HARTFORD,CT,6133,M,N,55000,5.0,0,24500,0,True,;spellingMistake;Incorrect_Format;Incorrect_Format,;f_name;rate;zip,69704
Miki,Raum,M,401,518-1788,MIDDLETOWN,NJ,2842,S,Y,20000,0.0,0,0,0,True,;spellingMistake;Incorrect_Format;Incorrect_Format,;state;rate;zip,10393
Peing,Bitter,M,251,848-9280,BIRMINGHAM,AL,35295,M,N,85000,5.0,1500,0,300,True,;spellingMistake;Incorrect_Format;spellingMistake,;has_child;rate;marital_status,17614
Shibin,Raufmann,F,256,938-3039,SYLACAUGA,AL,1907,M,N,60000,5.0,0,3000,300,True,;spellingMistake;Incorrect_Format;spellingMistake,;has_child;rate;zip,4677
Ken''ichi,Halper,M,205,347-3937,MONTGOMERY,AL,36113,M,N,25000,5.0,0,3000,300,True,;spellingMistake;spellingMistake;Incorrect_Format,;has_child;f_name;rate,9924
M''Lissa,Lugli,M,225,241-8761,NEW ORLEANS,NJ,70187,M,Y,95000,6.0,0,9000,1000,True,;spellingMistake;spellingMistake;Incorrect_Format,;state;f_name;rate,10347
Irs''hak,Guha,M,205,888-6448,BIRMINGHAM,AL,35205,M,N,10000,5.0,1500,0,300,True,;spellingMistake;spellingMistake;Incorrect_Format;spellingMistake,;has_child;f_name;rate;marital_status,19039
Houssem,Hegenbarth,M,775,287-8983,INCLINE VILLAGE,NV,89450,S,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,170557
Tiziana,Simone,M,307,624-2765,CHEYENNE,WY,82003,S,N,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,106353
Paulien,Baik,M,682,257-7419,DEL RIO,TX,78840,S,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,108912
Jinpo,Noda,M,202,343-2468,PARCEL RETURN SERVICE,DC,56902,M,Y,90000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,157371
Ryoji,Vitiello,M,907,155-1301,GOODNEWS BAY,AK,99589,S,N,70000,0.0,0,0,0,True,;Incorrect_Format,;rate,16406
Vishal,Ritzdorf,F,307,832-9373,MANDERSON,WY,82432,M,N,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,163116
Stefanka,Crestin,M,912,366-9785,GOOD HOPE,GA,30641,S,Y,20000,6.0,2700,0,3000,True,;Incorrect_Format,;rate,153897
Yang,Worthington,F,907,443-6756,KARLUK,AK,99608,S,N,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,20040
Kristoffer,Carciofini,F,803,586-2368,FAIR PLAY,SC,29643,S,Y,90000,7.0,3300,0,3300,True,;Incorrect_Format,;rate,6747
Hesham,Lanzi,F,202,997-9183,WASHINGTON,DC,20042,M,Y,55000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,197988
Weidon,Smitley,F,573,403-1620,PORTAGE DES SIOUX,MO,63373,M,Y,100000,6.0,0,4200,1200,True,;Incorrect_Format,;rate,147909
Sajjad,Aknine,F,229,502-4308,CONLEY,GA,30288,S,N,65000,6.0,2700,0,0,True,;Incorrect_Format,;rate,18246
Susannne,Pargas,F,662,154-4895,SALTILLO,MS,38866,M,N,90000,5.0,0,12000,0,True,;Incorrect_Format,;rate,72054
HongJiang,Linehan,F,202,260-9502,WASHINGTON,DC,20539,M,N,40000,9.0,0,2740,0,True,;Incorrect_Format,;rate,133895
Dines,Bracchi,F,202,933-7680,WASHINGTON,DC,20543,M,Y,65000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,6320
Flemming,Kadoda,M,870,827-5897,WILLISVILLE,AR,71864,M,Y,60000,7.0,0,40,20,True,;Incorrect_Format,;rate,34453
Randolph,Ojjeh,M,573,500-1188,ROTHVILLE,MO,64676,S,N,80000,6.0,2100,0,0,True,;Incorrect_Format,;rate,56794
Garng,Richters,F,870,736-2195,WINSLOW,AR,72959,M,N,45000,7.0,0,40,0,True,;Incorrect_Format,;rate,167671
Tanya,Yonezaki,F,253,364-6231,METALINE,WA,99152,S,Y,60000,0.0,0,0,0,True,;Incorrect_Format,;rate,35328
Randeep,Kroppenstedt,M,907,644-1120,SELDOVIA,AK,99663,S,N,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,125324
Wyn,Ulich,F,530,967-7524,STEVENSON RANCH,CA,91381,S,N,5000,1.0,87,0,0,True,;Incorrect_Format,;rate,164353
Wentong,Rosenbloom,F,954,558-8446,HIALEAH,FL,33016,S,Y,100000,0.0,0,0,0,True,;Incorrect_Format,;rate,155835
Kazue,Commoner,F,769,985-2630,SOSO,MS,39480,M,Y,20000,5.0,0,12000,1500,True,;Incorrect_Format,;rate,149211
Nazanin,Hinckley,F,307,457-8685,ENCAMPMENT,WY,82325,S,N,55000,0.0,0,0,0,True,;Incorrect_Format,;rate,127886
Anastasia,Pitsoulis,M,864,200-7901,VAN WYCK,SC,29744,S,N,20000,7.0,3300,0,0,True,;Incorrect_Format,;rate,188146
Raya,Melzer,F,318,264-3128,MOORINGSPORT,LA,71060,S,Y,30000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,119585
Ramachander,Vieri,M,224,209-5849,ROCKFORD,IL,61110,M,Y,65000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,154487
Reinder,Merks,M,847,354-9216,DECATUR,IL,62524,S,Y,90000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,79083
Kenjiro,Canto,M,304,886-3173,RAINELLE,WV,25962,M,Y,10000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,28632
Jirun,Vignollet,F,601,182-5721,GEORGETOWN,MS,39078,M,N,70000,5.0,0,12000,0,True,;Incorrect_Format,;rate,196984
Soraya,Schijf,F,682,281-9442,SMYER,TX,79367,M,N,55000,0.0,0,0,0,True,;Incorrect_Format,;rate,164995
Ashesh,Highnam,F,803,777-9256,GREENVILLE,SC,29604,M,N,70000,7.0,0,6600,0,True,;Incorrect_Format,;rate,105775
Marke,Saxton,F,334,482-9252,GREEN POND,AL,35074,S,N,75000,5.0,1500,0,0,True,;Incorrect_Format,;rate,110772
Tsutomu,McNaught,F,907,541-9765,WHITTIER,AK,99693,S,N,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,57697
Larry,Salvail,M,901,488-8659,CROSSVILLE,TN,38557,S,Y,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,165142
Stefen,Naryanan,F,479,961-8737,BRADLEY,AR,71826,M,Y,100000,7.0,0,40,20,True,;Incorrect_Format,;rate,137869
Yanxiang,Dimitriev,M,605,730-1185,MENNO,SD,57045,M,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,94468
Clares,Rane,M,206,411-6084,UNION,WA,98592,S,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,130901
Jerri,Porenta,F,307,800-4145,BYRON,WY,82412,M,N,70000,0.0,0,0,0,True,;Incorrect_Format,;rate,28720
Guoting,Brainerd,F,305,961-2934,ORLANDO,FL,32885,M,Y,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,76997
Krishnamurthy,Akazan,F,682,671-7567,HUNTINGTON,TX,75949,S,N,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,97032
Gavin,Muirhead,F,971,202-2167,PAISLEY,OR,97636,S,N,60000,9.0,159,0,0,True,;Incorrect_Format,;rate,104797
Ruce,Reus,M,815,728-8448,METROPOLIS,IL,62960,M,Y,25000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,145781
Ingar,Hopcroft,M,660,694-6325,WELLSVILLE,MO,63384,S,N,80000,6.0,2100,0,0,True,;Incorrect_Format,;rate,158731
Mansooreh,Bolbourn,M,912,936-4228,TAYLORSVILLE,GA,30178,M,N,70000,6.0,0,5400,0,True,;Incorrect_Format,;rate,154798
Loretta,Duske,F,912,732-4345,FARGO,GA,31631,M,Y,50000,6.0,0,5400,3000,True,;Incorrect_Format,;rate,129821
Rolando,ORiain,F,304,153-7559,ALKOL,WV,25501,S,N,5000,3.0,2000,0,0,True,;Incorrect_Format,;rate,67317
Pierto,Yahalom,M,202,375-8920,WASHINGTON,DC,20424,M,Y,70000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,752
Sherry,Lascarides,M,479,237-2689,COY,AR,72037,S,N,35000,7.0,20,0,0,True,;Incorrect_Format,;rate,183216
Somkiat,Ylonen,F,772,506-3361,BAY PINES,FL,33744,M,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,132253
Haodong,Stougie,F,769,953-8188,COLUMBUS,MS,39702,S,Y,15000,5.0,6000,0,1500,True,;Incorrect_Format,;rate,173876
Dora,Kirani,M,801,945-6660,KANARRAVILLE,UT,84742,M,N,35000,7.0,0,4950,0,True,;Incorrect_Format,;rate,23197
Veronica,Gurk,F,971,639-5859,ASTORIA,OR,97103,M,N,60000,9.0,0,318,0,True,;Incorrect_Format,;rate,38372
Che,Lycklama,M,307,792-9147,WALCOTT,WY,82335,S,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,81227
Teruo,Scattergood,F,307,710-9837,SHERIDAN,WY,82801,S,Y,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,19031
Mejar,Kern,F,971,918-4409,GASTON,OR,97119,M,N,90000,9.0,0,318,0,True,;Incorrect_Format,;rate,78198
Yarou,Bradac,M,605,156-5633,WALKER,SD,57659,S,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,89939
Alastair,Treseler,M,985,156-8335,KAPLAN,LA,70548,M,N,80000,6.0,0,9000,0,True,;Incorrect_Format,;rate,165509
Devina,Bierman,F,478,830-2502,MOUNT ZION,GA,30150,S,N,85000,6.0,2700,0,0,True,;Incorrect_Format,;rate,27334
Prasad,Joobbani,F,251,283-4371,MOORESVILLE,AL,35649,S,Y,45000,5.0,1500,0,300,True,;Incorrect_Format,;rate,94757
Cyndi,Sakagami,M,435,252-4717,PARK CITY,UT,84060,M,N,40000,7.0,0,4950,0,True,;Incorrect_Format,;rate,135047
Kriton,Meuss,M,307,730-5856,CASPER,WY,82609,M,N,65000,0.0,0,0,0,True,;Incorrect_Format,;rate,149705
Forrest,Rauh,M,775,995-6881,NIXON,NV,89424,S,N,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,46195
Shreekant,Edupuganty,F,786,668-7398,MELBOURNE,FL,32902,S,Y,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,166479
Hesham,Koblitz,F,985,278-9364,LAFAYETTE,LA,70508,S,Y,85000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,344
Wenhua,Riet,F,662,294-7069,ENTERPRISE,MS,39330,M,Y,10000,5.0,0,12000,1500,True,;Incorrect_Format,;rate,72924
Changfeng,Teniente,M,815,914-9281,CHICAGO,IL,60661,M,N,60000,3.0,0,4000,0,True,;Incorrect_Format,;rate,138392
Huseyin,Doudou,M,307,632-8189,ARAPAHOE-*,WY,82510,S,Y,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,129492
Fei,Tattersall,M,786,624-1300,WAUSAU,FL,32463,S,Y,70000,0.0,0,0,0,True,;Incorrect_Format,;rate,119009
Bern,Reiher,F,503,271-1772,PORTLAND,OR,97221,S,Y,80000,9.0,159,0,159,True,;Incorrect_Format,;rate,94603
Jaejoo,Terris,F,501,527-5171,JEFFERSON,AR,72079,S,N,30000,7.0,20,0,0,True,;Incorrect_Format,;rate,178807
Elliot,Dhodhi,F,253,940-9202,CHEHALIS,WA,98532,M,Y,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,42349
Chawki,Hajnal,M,864,387-3121,AIKEN,SC,29803,M,Y,30000,7.0,0,6600,3300,True,;Incorrect_Format,;rate,110820
Pil,Kleinholz,M,754,624-5822,TAMPA,FL,33617,M,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,42046
Seokwon,Couvreur,M,775,768-4747,GARDNERVILLE,NV,89410,S,Y,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,66182
Tandy,Luger,F,256,476-5892,OZARK,AL,36361,M,Y,80000,5.0,0,3000,300,True,;Incorrect_Format,;rate,59574
Asat,Yoshizawa,M,870,374-4629,HARDY,AR,72542,S,Y,85000,7.0,20,0,20,True,;Incorrect_Format,;rate,68929
Prabhu,Hotzel,M,228,935-3194,COLUMBUS,MS,39702,M,N,50000,5.0,0,12000,0,True,;Incorrect_Format,;rate,57280
Ilia,Lavva,M,803,478-7910,PACOLET,SC,29372,S,Y,50000,7.0,3300,0,3300,True,;Incorrect_Format,;rate,132537
Kenton,Parkin,M,504,446-8240,BASTROP,LA,71221,M,Y,60000,6.0,0,9000,1000,True,;Incorrect_Format,;rate,60941
Farnam,Buhler,F,618,424-1792,STONEFORT,IL,62987,M,Y,85000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,21456
Kyung,Karn,F,801,397-3178,CLEVELAND,UT,84518,M,N,85000,7.0,0,4950,0,True,;Incorrect_Format,;rate,136848
Sang,Wesselkamper,F,907,208-5804,MEYERS CHUCK,AK,99903,M,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,142517
Huatian,Orlando,M,601,166-7120,JACKSON,MS,39215,S,Y,25000,5.0,6000,0,1500,True,;Incorrect_Format,;rate,472
Lora,Honkala,M,618,776-9812,DE SOTO,IL,62924,S,Y,75000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,112367
ChingYen,Darrell,M,435,155-5410,ANTIMONY,UT,84712,M,N,50000,7.0,0,4950,0,True,;Incorrect_Format,;rate,140270
Mybrid,Cohoon,F,636,548-1675,BLODGETT,MO,63824,S,Y,45000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,192882
Loys,Mittal,F,334,317-9832,JASPER,AL,35504,S,N,40000,5.0,1500,0,0,True,;Incorrect_Format,;rate,44299
Albert,Monderer,M,573,944-1020,ORONOGO,MO,64855,S,N,95000,6.0,2100,0,0,True,;Incorrect_Format,;rate,155943
Rajagopalan,Prete,M,251,260-7491,HORTON,AL,35980,S,Y,10000,5.0,1500,0,300,True,;Incorrect_Format,;rate,51970
Stafford,Jespers,F,251,674-2258,HILLSBORO,AL,35643,M,N,45000,5.0,0,3000,0,True,;Incorrect_Format,;rate,26364
Wenci,Orengo,F,307,113-3421,ALADDIN,WY,82710,M,N,95000,0.0,0,0,0,True,;Incorrect_Format,;rate,39830
Zahia,Goot,F,816,685-1781,LIGUORI,MO,63057,M,Y,55000,6.0,0,4200,1200,True,;Incorrect_Format,;rate,169335
Debaprosad,DeMori,M,202,196-7322,WASHINGTON,DC,20088,S,N,75000,9.0,1370,0,0,True,;Incorrect_Format,;rate,147990
Hector,Przybyski,M,606,567-8235,EZEL,KY,41425,S,N,75000,6.0,20,0,0,True,;Incorrect_Format,;rate,116327
Jiansan,Prieditis,F,206,976-3200,BOTHELL,WA,98021,S,N,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,38400
Lalita,McKeague,M,228,106-2830,SCOOBA,MS,39358,S,N,15000,5.0,6000,0,0,True,;Incorrect_Format,;rate,156062
Jaejoon,Asplund,M,334,795-3257,MORRIS,AL,35116,S,N,60000,5.0,1500,0,0,True,;Incorrect_Format,;rate,107843
Masuhiro,Iwadare,M,605,501-3077,KENNEBEC,SD,57544,M,N,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,140973
Shiyu,Roush,M,754,101-7483,GREENSBORO,FL,32330,M,N,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,182252
Grigoris,Moshman,F,769,398-7100,TAYLORSVILLE,MS,39168,S,Y,45000,5.0,6000,0,1500,True,;Incorrect_Format,;rate,61795
Babubhai,Dastidar,M,605,297-7373,BRISTOL,SD,57219,M,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,174241
Mengjou,Prieto,M,702,595-6250,LAS VEGAS,NV,89107,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,29787
Petter,Sartini,F,202,436-8719,WASHINGTON,DC,20061,M,N,40000,9.0,0,2740,0,True,;Incorrect_Format,;rate,157388
Lakshman,Bay,F,251,845-5986,DORA,AL,35062,M,Y,5000,5.0,0,3000,300,True,;Incorrect_Format,;rate,83041
Luiza,Corvi,F,907,918-7715,TANANA,AK,99777,S,Y,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,121164
Johanan,Hemenway,M,217,712-9650,ALLENDALE,IL,62410,M,Y,35000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,87991
Benton,Gersonde,F,706,405-9324,COHUTTA,GA,30710,M,N,70000,6.0,0,5400,0,True,;Incorrect_Format,;rate,165999
Hayden,Okazaki,F,770,886-2298,LUMPKIN,GA,31815,M,Y,95000,6.0,0,5400,3000,True,;Incorrect_Format,;rate,117192
Asish,Ghezal,F,979,278-5365,HOUSTON,TX,77009,S,N,60000,0.0,0,0,0,True,;Incorrect_Format,;rate,104448
Saniya,Figueira,M,702,955-2891,NORTH LAS VEGAS,NV,89084,S,Y,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,119047
Oya,Leino,M,901,338-1319,SUGAR TREE,TN,38380,M,Y,55000,0.0,0,0,0,True,;Incorrect_Format,;rate,141409
Gisbert,Aha,M,541,396-7476,COLUMBIA CITY,OR,97018,S,Y,80000,9.0,159,0,159,True,;Incorrect_Format,;rate,1414
Alfs,Csaba,M,907,807-4551,RUBY,AK,99768,S,N,95000,0.0,0,0,0,True,;Incorrect_Format,;rate,44303
Benoit,Msuda,M,404,849-2628,BLACKSHEAR,GA,31516,S,Y,90000,6.0,2700,0,3000,True,;Incorrect_Format,;rate,144488
Attila,Elphick,F,706,310-4686,ROOPVILLE,GA,30170,M,N,75000,6.0,0,5400,0,True,;Incorrect_Format,;rate,77994
Vishweshwar,Skordev,M,334,366-2779,GADSDEN,AL,35907,S,N,40000,5.0,1500,0,0,True,;Incorrect_Format,;rate,59568
Tomohiro,Iwayama,F,307,507-9978,JACKSON,WY,83002,S,Y,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,63537
Marisela,Pasztor,M,801,666-2282,CIRCLEVILLE,UT,84723,S,N,75000,7.0,2475,0,0,True,;Incorrect_Format,;rate,68813
Joshua,Wasano,M,769,980-4275,JAYESS,MS,39641,M,N,40000,5.0,0,12000,0,True,;Incorrect_Format,;rate,13441
Lin,Blaschek,F,561,490-7269,BONITA SPRINGS,FL,34134,M,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,158024
Gunnvald,Noro,M,865,958-9423,ALPINE,TN,38543,M,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,135081
Roswita,Creasy,M,334,449-2590,MONTGOMERY,AL,36118,S,N,60000,5.0,1500,0,0,True,;Incorrect_Format,;rate,88141
Sorin,Debackere,M,325,602-8296,LAREDO,TX,78040,M,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,175992
Eike,Hagersten,F,479,783-3037,RUSSELLVILLE,AR,72802,M,Y,70000,7.0,0,40,20,True,;Incorrect_Format,;rate,144552
Paklin,Bruss,F,630,702-9749,FREEBURG,IL,62243,M,N,80000,3.0,0,4000,0,True,;Incorrect_Format,;rate,99835
Dharini,Schmitt,F,956,453-5329,STAFFORD,TX,77497,M,Y,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,161242
Huiling,Tullis,M,307,390-4378,BURLINGTON,WY,82411,M,N,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,6204
Hidehiko,Goto,F,541,103-8671,MERLIN,OR,97532,S,Y,50000,9.0,159,0,159,True,;Incorrect_Format,;rate,150875
Naotaka,Striel,M,202,754-2789,WASHINGTON,DC,20421,S,N,90000,9.0,1370,0,0,True,;Incorrect_Format,;rate,30087
Murthy,Kohne,M,615,865-2776,JACKSON,TN,38302,S,N,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,37847
Leandros,Gutta,M,307,250-5890,BUFORD,WY,82052,S,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,9756
Bandula,Ayani,F,501,138-8163,JESSIEVILLE,AR,71949,M,Y,60000,7.0,0,40,20,True,;Incorrect_Format,;rate,89768
Satyanarayana,Jesus,M,228,573-5342,ELLIOTT,MS,38926,S,N,55000,5.0,6000,0,0,True,;Incorrect_Format,;rate,130501
Akhilish,Carletta,M,430,270-2767,IMPERIAL,TX,79743,S,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,164442
Changjung,Unalyr,M,731,280-4841,CROCKETT MILLS,TN,38021,M,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,196576
Noriharu,Ruckebusch,F,202,329-9037,WASHINGTON,DC,20207,M,N,40000,9.0,0,2740,0,True,;Incorrect_Format,;rate,170270
Dulcineia,Sikka,F,708,960-4183,CHICAGO,IL,60632,S,N,45000,3.0,2000,0,0,True,;Incorrect_Format,;rate,68508
Jayashree,Karcich,M,803,549-8616,COLUMBIA,SC,29202,M,N,80000,7.0,0,6600,0,True,;Incorrect_Format,;rate,152271
Kazuhira,Griffioen,F,503,340-9694,PORTLAND,OR,97228,S,Y,45000,9.0,159,0,159,True,;Incorrect_Format,;rate,121616
Wenjun,Bijlsma,M,435,201-5496,CORNISH,UT,84308,M,Y,85000,7.0,0,4950,2475,True,;Incorrect_Format,;rate,99184
Guogen,Gerstenkorn,M,630,859-2886,BLOOMINGTON,IL,61799,M,N,90000,3.0,0,4000,0,True,;Incorrect_Format,;rate,139511
Abraham,Keen,M,801,403-9615,HOOPER,UT,84315,S,N,5000,7.0,2475,0,0,True,;Incorrect_Format,;rate,124525
Yuksel,Behrendt,F,646,797-5998,ODESSA,NY,14869,S,N,5000,4.0,0,0,0,True,;Incorrect_Format,;rate,178233
Sankaran,Loveland,M,352,184-2993,VERNON,FL,32462,S,N,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,121753
Sonal,Marakakis,M,775,443-9809,LAS VEGAS,NV,89137,M,Y,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,84343
Arnon,Rapin,F,660,337-6646,HUMPHREYS,MO,64646,S,Y,10000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,80223
Shengrui,Tabah,F,912,730-2549,GOOD HOPE,GA,30641,M,N,75000,6.0,0,5400,0,True,;Incorrect_Format,;rate,70264
Rajamani,Tatsumi,M,318,871-4907,HALL SUMMIT,LA,71034,S,Y,90000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,170796
Otfried,Kindlund,F,775,492-2841,SEARCHLIGHT,NV,89046,S,N,70000,0.0,0,0,0,True,;Incorrect_Format,;rate,86703
Omran,Tredennick,M,843,326-8786,AIKEN,SC,29803,M,N,80000,7.0,0,6600,0,True,;Incorrect_Format,;rate,194051
Emilio,Vieille,F,706,982-5929,GIRARD,GA,30426,M,N,20000,6.0,0,5400,0,True,;Incorrect_Format,;rate,132869
Hollyn,Noda,M,206,529-7817,LA PUSH,WA,98350,M,Y,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,172652
Regis,Kulasinghe,M,773,155-8354,NAPERVILLE,IL,60567,M,Y,55000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,27928
Dallas,Trauth,F,509,302-3214,DOTY,WA,98539,M,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,151416
Jacinto,Harbusch,M,803,769-4243,NORTH MYRTLE BEACH,SC,29597,M,Y,35000,7.0,0,6600,3300,True,;Incorrect_Format,;rate,54826
Deepak,Nori,M,901,288-4267,MOUNT CARMEL,TN,37645,S,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,60124
Daphna,Dubinsky,F,307,166-9403,PAVILLION,WY,82523,S,N,95000,0.0,0,0,0,True,;Incorrect_Format,;rate,81337
Gora,Tabak,M,253,284-5179,ANATONE,WA,99401,M,N,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,198804
Nosa,Quisquater,M,605,999-5015,NEWELL,SD,57760,S,N,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,182772
Sorana,Guttman,M,971,191-5670,O BRIEN,OR,97534,M,Y,75000,9.0,0,318,159,True,;Incorrect_Format,;rate,350
Philippas,Sury,F,971,903-9094,GALES CREEK,OR,97117,S,N,15000,9.0,159,0,0,True,;Incorrect_Format,;rate,155907
Xiangyang,Langetepe,M,360,420-9236,LAKEWOOD,WA,98499,M,N,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,194623
Sape,Opdahl,F,334,248-5622,HANCEVILLE,AL,35077,S,N,5000,5.0,1500,0,0,True,;Incorrect_Format,;rate,192122
Meir,Hulaas,M,307,606-6861,RAWLINS,WY,82301,S,Y,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,132750
Thoshiaki,Azmoodeh,M,228,405-5340,ROME,MS,38768,M,Y,100000,5.0,0,12000,1500,True,;Incorrect_Format,;rate,157155
Aimee,Nadas,M,601,323-3350,ETHEL,MS,39067,S,Y,65000,5.0,6000,0,1500,True,;Incorrect_Format,;rate,173038
