f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp,pk
Bush,Mintchev,M,605,668-9035,UTICA,SD,57067,M,Y,50000,0.0,0,0,0,1380
Gisbert,Aha,M,541,396-7476,COLUMBIA CITY,OR,97018,S,Y,80000,9.0,159,0,159,1414
Donato,Beausoleil,F,305,861-1073,SANFORD,FL,32772,S,N,85000,0.0,0,0,0,1540
Xiaohan,Yeun,F,509,150-1552,WAHKIACUS,WA,98670,S,N,80000,0.0,0,0,0,1555
Lata,Cyranek,M,304,555-2339,UNEEDA,WV,25205,M,N,10000,3.0,0,4000,0,1586
Yasuyuki,Bachus,M,228,602-2714,COAHOMA,MS,38617,M,N,50000,5.0,0,12000,0,1587
Raghava,Grigoryev,F,423,739-6643,MEMPHIS,TN,38182,S,N,60000,0.0,0,0,0,1619
Saharon,Stack,F,773,657-9601,BIG ROCK,IL,60511,M,N,35000,3.0,0,4000,0,1634
Gunter,Bustard,M,417,506-2005,SAINT LOUIS,MO,63195,M,Y,80000,6.0,0,4200,1200,1688
Mones,Dow,F,417,424-1273,CHAMOIS,MO,65024,S,N,70000,6.0,2100,0,0,1696
Geraldine,Iida,M,816,339-3823,BRECKENRIDGE,MO,64625,S,N,90000,6.0,2100,0,0,1730
Nirad,Patkar,F,971,282-2157,CORVALLIS,OR,97330,S,N,65000,9.0,159,0,0,1738
Chrysanthos,Charatonik,F,256,520-6804,DOTHAN,AL,36301,M,Y,75000,5.0,0,3000,300,1745
Gila,Gerla,M,229,113-6540,LILLY,GA,31051,S,Y,20000,6.0,2700,0,3000,1790
Chenye,Mullainathan,M,318,456-2697,CHAUVIN,LA,70344,M,Y,10000,2.0,0,9000,1000,1858
Pranava,Staudhammer,M,843,909-1882,PAGELAND,SC,29728,S,Y,75000,7.0,3300,0,3300,1860
Imanuddin,Hansdah,F,509,855-7764,FORKS,WA,98331,S,N,100000,0.0,0,0,0,1876
Guenther,Lieberherr,M,504,173-5433,NEW ORLEANS,LA,70185,M,N,10000,2.0,0,9000,0,1882
Franck,Koppelaar,F,907,990-7243,HOOPER BAY,AK,99604,S,N,25000,0.0,0,0,0,1907
Wasfi,Laske,M,307,223-7857,CORA,WY,82925,M,N,75000,0.0,0,0,0,1920
Tulika,Langlais,M,206,400-1778,SEATTLE,WA,98175,M,Y,65000,0.0,0,0,0,1934
Xingong,Jussien,M,541,612-9265,WHITE CITY,OR,97503,M,N,75000,9.0,0,318,0,1957
Tomohiro,Bowditch,F,605,546-7346,KAYLOR,SD,57354,M,Y,20000,0.0,0,0,0,2094
Anirvan,Ropelewski,M,727,541-3853,BEVERLY HILLS,FL,34464,S,Y,30000,0.0,0,0,0,2106
Yahya,Balder,M,907,719-9573,KOYUKUK,AK,99754,M,Y,45000,0.0,0,0,0,2141
Mordechay,Grahn,M,985,383-5730,METAIRIE,LA,70001,S,N,10000,2.0,4500,0,0,2143
Hitoshi,McGovern,F,432,733-8783,EL PASO,TX,79920,S,N,30000,0.0,0,0,0,2214
Aamer,Jorgensen,F,702,282-4358,COYOTE SPRINGS,NV,89037,S,N,65000,0.0,0,0,0,2275
Bev,Leenaerts,F,904,867-3596,VERO BEACH,FL,32968,S,Y,75000,0.0,0,0,0,2297
Tooru,Otillio,M,870,374-4380,WILTON,AR,71865,M,N,60000,7.0,0,40,0,2301
Bostjan,Stanfill,F,702,608-7375,HENDERSON,NV,89052,S,N,40000,0.0,0,0,0,2308
Pasqua,Rein,M,202,452-7610,WASHINGTON,DC,20098,S,Y,80000,9.0,1370,0,1370,2334
Dorota,Prieto,M,404,421-6701,QUITMAN,GA,31643,M,Y,95000,6.0,0,5400,3000,2363
Pangfeng,Callon,F,202,303-2026,WASHINGTON,DC,20212,S,N,85000,9.0,1370,0,0,2377
Qiuming,Sommer,F,775,545-8031,IMLAY,NV,89418,M,Y,50000,0.0,0,0,0,2396
Alongkrit,Devai,M,423,463-3043,KNOXVILLE,TN,37916,S,Y,35000,0.0,0,0,0,2436
Ruce,Chesneaux,M,770,515-6451,CUMMING,GA,30028,S,Y,80000,6.0,2700,0,3000,2448
Lynne,Flann,M,773,654-7945,ROYALTON,IL,62983,S,N,20000,3.0,2000,0,0,2498
Carine,Guernic,F,605,607-9088,SCOTLAND,SD,57059,S,Y,75000,0.0,0,0,0,2543
Shahab,Shanbhogue,F,270,673-5601,CURDSVILLE,KY,42334,M,Y,85000,6.0,0,40,20,2610
Chuck,Scalabrin,M,907,726-4308,JBER,AK,99506,S,Y,5000,0.0,0,0,0,2624
Rosaria,Ebbinghaus,M,769,798-9349,HARPERVILLE,MS,39080,S,Y,70000,5.0,6000,0,1500,2640
Enrique,Dasu,M,940,983-5107,MEDINA,TX,78055,M,Y,75000,0.0,0,0,0,2650
Lulu,Clemencon,M,864,332-6442,CONVERSE,SC,29329,S,Y,45000,7.0,3300,0,3300,2669
Kailish,Dumitrescu,M,702,270-6418,LAS VEGAS,NV,89126,S,N,70000,0.0,0,0,0,2673
Zhong,Levergood,M,660,336-3865,CHAFFEE,MO,63740,S,Y,20000,6.0,2100,0,1200,2682
Marney,Amsellem,M,501,694-6521,MARVELL,AR,72366,M,N,75000,7.0,0,40,0,2694
Singaravel,Abdulazizoglu,M,360,196-3687,ROSALIA,WA,99170,M,N,15000,0.0,0,0,0,2726
Gisbert,Collinot,M,360,269-4486,ORIENT,WA,99160,M,N,85000,0.0,0,0,0,2778
Jinglie,Boreddy,F,702,903-3657,SLOAN,NV,89054,M,Y,45000,0.0,0,0,0,2779
Ronitt,Badache,F,334,387-2720,BESSEMER,AL,35021,M,N,100000,5.0,0,3000,0,2839
Samiha,Kluners,F,706,965-3449,BERLIN,GA,31722,M,Y,40000,6.0,0,5400,3000,2871
Bjajesh,D'Auria,F,702,648-7004,RENO,NV,89504,M,Y,55000,0.0,0,0,0,2873
Martii,Brody,F,512,434-7391,TENNESSEE COLONY,TX,75884,S,N,40000,0.0,0,0,0,2879
Cristobal,Fraenkel,F,503,390-5899,RICHLAND,OR,97870,M,N,50000,9.0,0,318,0,3085
Mechthild,Chmielinska,M,907,198-9216,KARLUK,AK,99608,S,N,70000,0.0,0,0,0,3097
Malvin,Rothenberg,M,253,270-7866,BURBANK,WA,99323,S,N,5000,0.0,0,0,0,3163
Veronica,Damm,F,605,702-4133,GARY,SD,57237,S,Y,80000,0.0,0,0,0,3171
Egon,Wyckoff,F,504,144-4472,HAYNESVILLE,LA,71038,M,N,50000,6.0,0,9000,0,3217
Uttam,Guyton,M,972,509-7530,SAN ANTONIO,TX,78291,M,Y,50000,0.0,0,0,0,3287
Maeve,Bitan,F,815,257-8993,BOWEN,IL,62316,S,Y,45000,3.0,2000,0,2000,3291
Rain,Berwick,F,206,193-8378,TACOMA,WA,98401,S,N,5000,0.0,0,0,0,3294
Chiranjit,Benatallah,M,225,600-7434,NATCHITOCHES,LA,71457,M,Y,40000,6.0,0,9000,1000,3319
Yacov,Knasmuller,M,706,222-5536,BRONWOOD,GA,39826,M,N,25000,6.0,0,5400,0,3336
Hidehiro,Ratto,M,770,543-9094,MANASSAS,GA,30438,S,N,45000,6.0,2700,0,0,3340
van,Sewelson,F,813,559-9790,NEW PORT RICHEY,FL,34656,S,Y,70000,0.0,0,0,0,3438
Junzhong,Crivelli,M,702,384-5264,LAS VEGAS,NV,89117,S,N,80000,0.0,0,0,0,3452
Zahia,Swiler,F,907,110-6684,EKWOK,AK,99580,S,N,5000,0.0,0,0,0,3466
Bhagirath,Hazony,F,435,717-3871,SALT LAKE CITY,UT,84107,M,Y,40000,7.0,0,4950,2475,3549
Toshimo,Suska,F,205,212-3269,NEW BROCKTON,AL,36351,S,N,5000,5.0,1500,0,0,3639
Heungsoon,Whitley,F,606,440-4286,ROXANA,KY,41848,S,Y,90000,6.0,20,0,20,3661
Yasser,Pedrycz,M,907,987-6451,PALMER,AK,99645,M,N,100000,0.0,0,0,0,3667
Lein,Kinsner,F,775,419-8883,GOLDFIELD,NV,89013,M,Y,65000,0.0,0,0,0,3681
Pauray,Wybranietz,F,318,483-6698,SPRINGHILL,LA,71075,S,Y,45000,6.0,4500,0,1000,3722
Elof,Podilchuk,F,251,763-4422,PANOLA,AL,35477,M,N,10000,5.0,0,3000,0,3779
Yahong,Svensson,F,430,630-2307,DALLAS,TX,75381,S,Y,50000,0.0,0,0,0,3806
Jengwei,Loborg,M,702,460-6183,WINNEMUCCA,NV,89445,S,Y,90000,0.0,0,0,0,3815
Marios,Skeel,F,314,603-6761,MARQUAND,MO,63655,M,N,85000,6.0,0,4200,0,3917
Okan,Gille,M,803,935-9872,HILTON HEAD ISLAND,SC,29926,S,N,70000,7.0,3300,0,0,3938
Leyuan,Blau,F,304,221-8852,CHARLESTON,WV,25364,M,N,5000,3.0,0,4000,0,3960
Zdzislaw,Speirs,F,605,859-7405,LITTLE EAGLE,SD,57639,S,Y,70000,0.0,0,0,0,4047
Simonetta,Birjandi,F,605,785-3004,RAPID CITY,SD,57702,M,Y,45000,0.0,0,0,0,4093
Milo,Oettli,F,479,796-9884,LITTLE ROCK AIR FORCE BASE,AR,72099,S,Y,60000,7.0,20,0,20,4103
Nieves,Weinbaum,F,509,657-5257,SEATTLE,WA,98194,S,N,20000,0.0,0,0,0,4135
Ender,Wetprasit,M,601,742-2418,MADDEN,MS,39109,M,Y,15000,5.0,0,12000,1500,4223
Qing,Senouci,M,501,108-7214,ELAINE,AR,72333,S,Y,55000,7.0,20,0,20,4286
Hikyu,Zlatev,F,775,292-6486,LAS VEGAS,NV,89151,M,N,45000,0.0,0,0,0,4293
Facundo,Jolfaei,F,479,565-6130,VALLEY SPRINGS,AR,72682,S,N,60000,7.0,20,0,0,4294
Seyed,Roullet,M,601,336-4209,SATARTIA,MS,39162,S,N,40000,5.0,6000,0,0,4439
Otthein,Koike,F,775,693-5977,RENO,NV,89519,M,N,30000,0.0,0,0,0,4455
Laila,Nations,M,202,491-2069,WASHINGTON,DC,20529,S,N,80000,9.0,1370,0,0,4477
Miroslawa,Dershowitz,M,940,330-8378,EL PASO,TX,88546,M,Y,55000,0.0,0,0,0,4493
Piew,Stolcke,F,775,799-3012,SPARKS,NV,89435,M,Y,70000,0.0,0,0,0,4503
Christophe,Sureson,F,812,206-5194,ROCKPORT,IN,47635,S,N,10000,3.4,1000,0,0,4560
Shibin,Raufmann,F,256,938-3039,SYLACAUGA,AL,35151,M,Y,60000,5.0,0,3000,300,4677
Goo,Mastrobuoni,M,251,152-7300,HAZEL GREEN,AL,35750,M,N,65000,5.0,0,3000,0,4757
Haigeng,Goemans,M,801,217-8498,SALT LAKE CITY,UT,84151,M,Y,95000,7.0,0,4950,2475,4796
Xiaobin,Schoenig,F,775,847-7881,LAS VEGAS,NV,89148,S,Y,5000,0.0,0,0,0,4802
Tomohiro,Pointcheval,F,361,514-3835,PALMER,TX,75152,M,Y,35000,0.0,0,0,0,4879
Ulfar,Botuscharov,F,304,590-6938,AUBURN,WV,26325,M,N,5000,3.0,0,4000,0,4886
Erina,Cattrall,M,754,145-1520,BASCOM,FL,32423,M,N,50000,0.0,0,0,0,4892
Yuzhong,Kisielewicz,M,816,986-1741,EUREKA,MO,63025,S,Y,80000,6.0,2100,0,1200,4919
Narjes,Pleser,M,479,454-1290,WILBURN,AR,72179,M,Y,75000,7.0,0,40,20,4934
Kailish,Zeidenstein,M,910,578-2368,FARMVILLE,NC,27828,S,N,10000,6.0,3300,0,0,4946
Aggrey,Avouris,F,601,728-9350,JACKSON,MS,39236,M,Y,40000,5.0,0,12000,1500,4994
Yellamraju,Hansdah,M,312,395-7138,XENIA,IL,62899,S,Y,90000,3.0,2000,0,2000,5106
Shivaraman,Noga,F,816,314-6960,ETHEL,MO,63539,M,Y,55000,6.0,0,4200,1200,5150
Sanda,Babaguchi,M,801,163-4084,VERNAL,UT,84079,M,Y,100000,7.0,0,4950,2475,5238
Katsuo,Morrow,M,503,868-9162,BLODGETT,OR,97326,S,N,85000,9.0,159,0,0,5240
Mizuko,Demoen,F,605,766-5535,VIRGIL,SD,57379,M,N,95000,0.0,0,0,0,5251
Kaylan,Rothemund,M,605,767-3198,SPRINGFIELD,SD,57062,M,Y,5000,0.0,0,0,0,5253
Kazuko,Reutov,F,605,780-7564,PLANKINTON,SD,57368,M,Y,80000,0.0,0,0,0,5259
Otmane,Lukanowicz,M,954,884-3083,CYPRESS,FL,32432,M,Y,35000,0.0,0,0,0,5289
Ida,Gulliver,M,561,855-1140,WEST PALM BEACH,FL,33412,M,Y,90000,0.0,0,0,0,5301
Iordana,Hawkinson,M,630,327-1390,ORION,IL,61273,M,N,85000,3.0,0,4000,0,5316
Cyndi,Gutta,M,509,682-4764,BARING,WA,98224,M,Y,5000,0.0,0,0,0,5344
Chaim,Ihrig,M,309,482-4259,MUDDY,IL,62965,S,Y,30000,3.0,2000,0,2000,5377
Peyyun,Mundhenk,M,843,669-3289,GADSDEN,SC,29052,M,N,65000,7.0,0,6600,0,5396
Shreesh,Serizawa,M,202,910-1948,WASHINGTON,DC,20546,S,Y,95000,9.0,1370,0,1370,5441
Zavid,Marietta,M,662,712-6500,VICKSBURG,MS,39183,S,Y,35000,5.0,6000,0,1500,5448
Ericka,Etzioni,F,605,662-3215,WOUNDED KNEE,SD,57794,M,Y,95000,0.0,0,0,0,5474
Alexa,Kadota,M,225,535-9849,NEW ORLEANS,LA,70115,S,Y,70000,6.0,4500,0,1000,5491
KaiCheng,Keum,F,803,487-2014,SAINT MATTHEWS,SC,29135,M,N,60000,7.0,0,6600,0,5533
Suzanna,Hadfield,M,615,418-9753,MEMPHIS,TN,38116,S,Y,5000,0.0,0,0,0,5538
Holm,Musha,F,706,224-4283,DOUGLASVILLE,GA,30154,M,N,10000,6.0,0,5400,0,5542
Christinger,Frattolillo,F,971,103-2150,SHERWOOD,OR,97140,M,Y,50000,9.0,0,318,159,5586
Srilatha,Bry,F,228,419-8001,RULEVILLE,MS,38771,S,Y,65000,5.0,6000,0,1500,5625
Ethan,Tretkoff,M,409,227-7741,GIDDINGS,TX,78942,S,N,10000,0.0,0,0,0,5634
Vlad,Torrigiani,F,971,139-3214,BATES,OR,97817,S,N,75000,9.0,159,0,0,5692
Anish,Hitzelberger,F,307,815-7110,LANCE CREEK,WY,82222,S,N,60000,0.0,0,0,0,5748
Waldemar,Baer,F,907,817-9785,SKWENTNA,AK,99667,M,Y,25000,0.0,0,0,0,5760
Ryotaro,Ramsdell,M,803,412-2149,LANGLEY,SC,29834,M,N,45000,7.0,0,6600,0,5836
Olivia,Kingston,F,850,270-3308,MELBOURNE,FL,32940,M,N,15000,0.0,0,0,0,5851
Kyujin,Date,M,435,742-2290,SNOWVILLE,UT,84336,S,N,50000,7.0,2475,0,0,5877
Yingxu,Simovici,F,832,388-7384,GROVES,TX,77619,M,N,45000,0.0,0,0,0,5879
IJsbrand,Reiss,M,843,432-6751,POMARIA,SC,29126,S,N,60000,7.0,3300,0,0,6030
Zhixing,Marsiglia,M,605,840-8117,WALLACE,SD,57272,M,Y,85000,0.0,0,0,0,6039
Apkar,Quittner,M,843,733-4888,TIGERVILLE,SC,29688,M,Y,15000,7.0,0,6600,3300,6041
Dariu,Maiorov,M,830,368-1058,SPRING,TX,77391,M,N,80000,0.0,0,0,0,6043
Huiling,Tullis,M,307,390-4378,BURLINGTON,WY,82411,M,N,15000,0.0,0,0,0,6204
Inbal,Kafatos,F,251,146-1524,STERRETT,AL,35147,S,N,85000,5.0,1500,0,0,6222
Ying,Lowen,F,425,165-4134,SEATTLE,WA,98171,M,Y,90000,0.0,0,0,0,6258
Dragutin,Postma,M,607,188-4032,DALTON,NY,14836,M,Y,5000,4.0,0,0,1000,6290
Dines,Bracchi,F,202,933-7680,WASHINGTON,DC,20543,M,Y,65000,9.0,0,2740,1370,6320
Corinna,Bilotta,M,253,522-3669,TACOMA,WA,98450,S,N,95000,0.0,0,0,0,6375
Tsang,Forte,M,605,821-3661,BRADLEY,SD,57217,S,Y,55000,0.0,0,0,0,6382
Ranato,Lamont,F,915,317-4899,HOUSTON,TX,77224,S,N,35000,0.0,0,0,0,6383
Kuzuko,Double,M,754,466-7228,LAKE PLACID,FL,33862,S,Y,75000,0.0,0,0,0,6400
Rafael,Hemami,F,228,334-7419,SHELBY,MS,38774,S,N,10000,5.0,6000,0,0,6425
Ajei,Tichkiewitch,F,423,380-4148,MEMPHIS,TN,38112,S,N,65000,0.0,0,0,0,6475
Milena,Birke,M,660,451-5961,COLUMBIA,MO,65212,S,Y,10000,6.0,2100,0,1200,6521
Chiakang,Remp,M,404,236-5021,GRAY,GA,31032,M,N,50000,6.0,0,5400,0,6533
Sheldon,Maliniak,F,864,151-6045,FAIRFAX,SC,29827,S,N,50000,7.0,3300,0,0,6632
Hideyuki,Lanin,M,202,290-2895,WASHINGTON,DC,20053,S,Y,80000,9.0,1370,0,1370,6660
Gil,Wiel,M,907,560-6103,MANOKOTAK,AK,99628,S,Y,35000,0.0,0,0,0,6724
Carson,Zdybel,F,605,417-5396,ONAKA,SD,57466,M,N,90000,0.0,0,0,0,6725
Levent,Zapatrin,F,229,383-8360,CANTON,GA,30114,S,N,35000,6.0,2700,0,0,6740
Damien,Podilchuk,M,601,848-5716,DENNIS,MS,38838,S,N,50000,5.0,6000,0,0,6746
Kristoffer,Carciofini,F,803,586-2368,FAIR PLAY,SC,29643,S,Y,90000,7.0,3300,0,3300,6747
Odinaldo,Karton,F,307,894-9093,BURLINGTON,WY,82411,S,Y,35000,0.0,0,0,0,6784
Ekow,Gras,F,202,991-8430,PARCEL RETURN SERVICE,DC,56904,M,Y,100000,9.0,0,2740,1370,6794
Ting,Klefstad,M,713,527-3134,EL PASO,TX,88542,M,N,50000,0.0,0,0,0,6815
Takayoshi,Arentze,F,770,516-5051,NORCROSS,GA,30010,S,N,65000,6.0,2700,0,0,6843
Sofya,Summers,F,815,571-2817,FRANKLIN GROVE,IL,61031,M,Y,15000,3.0,0,4000,2000,6870
Rinat,Matzke,F,803,405-2625,SPARTANBURG,SC,29307,S,Y,45000,7.0,3300,0,3300,6911
Hiroya,Malhotra,M,501,654-7110,DENNARD,AR,72629,S,N,80000,7.0,20,0,0,6936
Eileen,Brodner,F,801,381-9082,GUNNISON,UT,84634,M,Y,50000,7.0,0,4950,2475,6997
Eljas,Rotger,M,307,541-2429,BEDFORD,WY,83112,M,Y,10000,0.0,0,0,0,7002
Jungyun,Kubitz,M,815,754-5558,PERKS,IL,62973,M,Y,100000,3.0,0,4000,2000,7032
Gill,Ahrweiler,F,708,501-7187,ANCHOR,IL,61720,S,Y,60000,3.0,2000,0,2000,7150
Ullrich,Lienert,F,337,279-5088,GIBSLAND,LA,71028,M,N,85000,6.0,0,9000,0,7194
Musaravakkam,Khamisy,F,706,295-7008,NEWTON,GA,39870,M,N,55000,6.0,0,5400,0,7291
Willemien,Ashworth,F,775,499-9753,PARADISE VALLEY,NV,89426,M,N,90000,0.0,0,0,0,7349
Delgado,Petroski,F,256,722-9512,KILLEN,AL,35645,S,N,25000,5.0,1500,0,0,7350
Shukri,Karsner,F,731,338-8091,CLEVELAND,TN,37364,M,Y,80000,0.0,0,0,0,7416
Ewart,Baar,M,225,920-9904,DERIDDER,LA,70634,S,Y,60000,6.0,4500,0,1000,7420
Iven,Stuempfle,F,502,425-3331,LEXINGTON,KY,40583,S,N,90000,6.0,20,0,0,7445
Hongbo,Cappelli,M,706,361-5368,TY TY,GA,31795,S,Y,100000,6.0,2700,0,3000,7446
Grady,Meyers,M,202,970-5784,WASHINGTON,DC,20080,M,N,60000,9.0,0,2740,0,7449
Enea,Konstam,M,307,221-6493,CARPENTER,WY,82054,S,Y,20000,0.0,0,0,0,7479
Amal,Vingron,F,843,517-8195,FORT MILL,SC,29716,S,Y,100000,7.0,3300,0,3300,7502
Elif,Yacobi,F,541,762-5428,BROGAN,OR,97903,M,Y,35000,9.0,0,318,159,7545
Kristy,Cao,F,270,666-1721,BEAR BRANCH,KY,41714,M,Y,75000,6.0,0,40,20,7550
Martine,Shanbhogue,F,801,960-3397,MORONI,UT,84646,S,Y,35000,7.0,2475,0,2475,7607
Hanpei,Brodner,M,314,836-3900,MC GIRK,MO,65055,S,N,40000,6.0,2100,0,0,7642
Chester,Claudson,M,435,477-6624,BLUFF,UT,84512,S,N,60000,7.0,2475,0,0,7707
Abdulla,Pezze,M,907,269-6928,CLAM GULCH,AK,99568,S,N,65000,0.0,0,0,0,7709
Cornelious,Hokimoto,M,202,879-1566,WASHINGTON,DC,20553,S,Y,80000,9.0,1370,0,1370,7741
Ursel,Irland,M,509,942-3828,EPHRATA,WA,98823,M,N,25000,0.0,0,0,0,7783
Pohua,Kodialam,M,660,812-4361,PRESTON,MO,65732,S,Y,15000,6.0,2100,0,1200,7828
Jongmoo,Newhagen,F,769,142-9201,UNIVERSITY,MS,38677,S,Y,95000,5.0,6000,0,1500,7952
Jacinto,Helland,M,678,743-3068,SILOAM,GA,30665,M,Y,50000,6.0,0,5400,3000,7993
Inhye,Braams,F,971,276-5161,PORTLAND,OR,97272,S,N,55000,9.0,159,0,0,8052
Inguna,Pyreddy,F,304,638-7786,MABSCOTT,WV,25871,M,Y,10000,3.0,0,4000,2000,8053
Phenil,Mascha,F,270,152-7966,LEXINGTON,KY,40533,S,N,80000,6.0,20,0,0,8084
Satosi,Rumelhart,M,415,466-8535,CANTUA CREEK,CA,93608,M,N,5000,1.0,0,174,0,8094
Plamenka,Rosenmann,F,662,777-5983,FULTON,MS,38843,S,N,85000,5.0,6000,0,0,8114
Christhard,Biancardi,F,307,581-1528,MC KINNON,WY,82938,S,N,95000,0.0,0,0,0,8154
Jacobijn,Stampfel,F,435,628-9818,GREENVILLE,UT,84731,S,N,45000,7.0,2475,0,0,8170
Donny,Greif,F,847,854-1724,ELLSWORTH,IL,61737,M,Y,80000,3.0,0,4000,2000,8182
Petko,Leiva,M,706,125-6844,NEWTON,GA,39870,M,N,85000,6.0,0,5400,0,8187
Lhouari,Whitelock,M,254,258-3593,BRENHAM,TX,77834,M,Y,35000,0.0,0,0,0,8256
Vinot,Miene,F,404,901-8427,ATLANTA,GA,30334,S,N,25000,6.0,2700,0,0,8430
Wladyslaw,Ranon,F,912,461-6968,JESUP,GA,31545,S,N,40000,6.0,2700,0,0,8456
Pratul,Lipper,M,425,340-6252,FAIRCHILD AIR FORCE BASE,WA,99011,S,Y,75000,0.0,0,0,0,8509
Seshashayee,Ledeniov,M,801,506-1175,SALT LAKE CITY,UT,84158,M,Y,20000,7.0,0,4950,2475,8533
Ragnar,Maliniak,F,423,293-2379,DYER,TN,38330,M,N,20000,0.0,0,0,0,8559
Kemji,Muhlenbein,F,479,806-9550,LONSDALE,AR,72087,M,N,55000,7.0,0,40,0,8561
Guozhen,Chuan,M,469,142-4822,DE BERRY,TX,75639,M,N,85000,0.0,0,0,0,8569
Phenil,Rande,F,256,826-2292,ARAB,AL,35016,S,N,25000,5.0,1500,0,0,8673
Berto,Reedy,F,859,133-8045,GUNLOCK,KY,41632,S,Y,90000,6.0,20,0,20,8716
Gopal,Stata,F,509,712-7124,LOON LAKE,WA,99148,M,Y,85000,0.0,0,0,0,8753
Qiang,Getov,F,662,605-3233,GLEN,MS,38846,M,Y,85000,5.0,0,12000,1500,8771
Courtland,Oberhauser,F,417,275-3267,KANSAS CITY,MO,64141,M,N,50000,6.0,0,4200,0,8811
Minder,Dubhashi,M,803,900-4924,SUMMERVILLE,SC,29485,S,Y,70000,7.0,3300,0,3300,8834
Fahimeh,Aoreira,F,731,173-3308,NASHVILLE,TN,37242,S,N,70000,0.0,0,0,0,8855
